name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds
"Uchbenbak, the Great Mistake",ALCI,38,,,,,Card,art_series,d09c294a-a428-5a90-9cde-f66f9506e1cb,aadf8d6d-cb57-5676-b847-bfb0ec9abad9
"Vito, Fanatic of Aclazotz",ALCI,39,,,,,Card,art_series,23553589-26d8-5fe8-b495-9596b8d069af,05c76f68-cd0a-56d7-bd78-7c90e1bd5490
The Core,ALCI,40,,,,,Card,art_series,76ac6f16-5fe9-51aa-b40d-9e2e50c1f644,76dcc918-cf92-5ed6-b9c4-f52e5aaa20e1
The Grim Captain,ALCI,41,,,,,Card,art_series,f44fd7e6-213e-53bf-b086-6e3d3a78a08a,59d5077b-8e5e-5a9c-8a7a-0d459fad6f4a
Restless Anchorage,ALCI,42,,,,,Card,art_series,78e4e215-36c7-51dc-b435-238dca1599ed,70bfea6f-174b-535c-8df4-e9a0d75640d4
Restless Prairie,ALCI,43,,,,,Card,art_series,1ac8936d-6c04-5b23-b5fa-cca027de9c8f,455b4325-5e36-59af-b3f9-25cfa6e7961e
"Inti, Seneschal of the Sun",ALCI,47,,,,,Card,art_series,76716bc3-f4d3-5eae-b05c-6316631d80cb,d9ab6978-3631-56a4-9912-5598384b2d6a
Bartolomé del Presidio,ALCI,49,,,,,Card,art_series,f454e79a-f19b-524c-b17b-63498e880fda,db426817-89be-57df-a4a6-a385f1ffe8aa
"Kutzil, Malamet Exemplar",ALCI,50,,,,,Card,art_series,64a708c3-74da-565b-8175-9e0b9952aa57,015935d8-72a1-5663-89f8-4d85c43e11c0
"Saheeli, the Sun's Brilliance",ALCI,52,,,,,Card,art_series,3bad0527-b056-5c9e-90ce-12c5995fba49,c56280c1-297d-56e2-85a2-debdf2ef36c0
Sovereign Okinec Ahau,ALCI,53,,,,,Card,art_series,5a02d7e2-181e-581f-8fab-f5765f707f30,b7a9cc3d-fee7-5bb8-9c8f-bba5c23620c1
Zoyowa Lava-Tongue,ALCI,54,,,,,Card,art_series,227b894b-5591-5f74-9c36-1998cca2aba0,ca878be8-71a1-58ad-9494-9485008593e3
Throne of the Grim Captain,ALCI,55,,,,,Card,art_series,a9e1b48a-269c-5353-8cc8-beddf62614dd,8644cf8b-463c-52df-a49b-56419a2a8ef5
Tishana's Tidebinder,ALCI,60,,,,,Card,art_series,f55484c1-531f-5936-a69a-564865e0d196,590242f4-9475-51e1-8819-ad6d212dff83
Starving Revenant,ALCI,62,,,,,Card,art_series,c20d19d2-ef44-5f27-9b81-6163c0f688b2,428d78de-62a7-5363-a855-0b883d258c74
Roar of the Fifth People,ALCI,63,,,,,Card,art_series,a5441642-e0fb-5e0c-9059-09f1a8ee8e73,183adec9-72b0-5623-8b20-50a8426daabc
Echoing Deeps,ALCI,64,,,,,Card,art_series,05dca4e5-7d54-5a6c-85f9-cd525e75b958,916c1929-8ef9-55c1-9c8a-9791d8fbc515
Carnage Tyrant,ALCI,66,,,,,Card,art_series,0924a5f1-46f9-5d6e-9bfa-ee387270d535,215e769b-c8f7-571f-bd96-fba0e35931a2
Dinosaur,ALCI,67,,,,,Card,art_series,6e0612f8-5a8a-5637-b1ad-48f4d1372755,fd8e8dee-61e5-52f6-8eb7-b81a4c1abdcf
Map,ALCI,68,,,,,Card,art_series,a0710b18-195d-570e-b033-623037e3be21,43a8fa5d-adcd-5c59-a976-6b38b08a1677
"Admiral Brass, Unsinkable",ALCI,69,,,,,Card,art_series,0d260d57-f45a-541b-8073-adee7504f955,cbcf70e1-0cf8-53c8-a734-d52738813c3f
"Clavileño, First of the Blessed",ALCI,70,,,,,Card,art_series,6b41751f-bd7a-549d-be6f-6fde88a843ca,df1723cf-9ca5-5207-bdb2-a10d09df4ef3
"Wayta, Trainer Prodigy",ALCI,71,,,,,Card,art_series,f7d9feb1-327f-530e-a671-5f618bbc6ad3,ebe2dc8a-b97f-5ba4-899c-c2172428306e
Contest of Claws,ALCI,72,,,,,Card,art_series,90c60435-c564-5601-b50a-20ceec5da024,10c297e2-c418-509f-bee7-09e6d22e1c38
Hakbal of the Surging Soul,ALCI,74,,,,,Card,art_series,e4ecc9a3-e71f-5550-b4e0-e91b04eaf14f,859dbae1-f444-5f5f-935c-13840c05e9be
"Pantlaza, Sun-Favored",ALCI,75,,,,,Card,art_series,5764cc4d-6845-567f-8699-03b0ae406558,42c8de04-a93d-5d8e-b0d9-3d69914fb175
Wave Goodbye,ALCI,76,,,,,Card,art_series,548d5f1f-3f3b-5617-b73b-1fc7be4049e4,83dd5409-2216-5699-a5a5-0885f839b0dc
Wrathful Raptors,ALCI,77,,,,,Card,art_series,dd74b8db-0205-53d1-a84f-d72ea2106370,8929ebcf-73ab-597d-9a46-3349b1591f65
Sunfrill Imitator,ALCI,78,,,,,Card,art_series,3b6c0f82-4749-588d-b4f0-373c1004bd96,bcdaa073-b3e8-5751-a476-b8054c1f85e7
Chalice of the Void,ALCI,79,,,,,Card,art_series,8eb2c669-2d85-5eeb-8370-894965643bfa,026a2c32-63ac-5f08-8376-55d76c1f520b
Whispersilk Cloak,ALCI,80,,,,,Card,art_series,cb988747-f1b1-5254-87d5-b348f94b15c7,85ac5c52-a924-5ead-bdd7-38c324151245
Clifftop Retreat,ALCI,81,,,,,Card,art_series,5e050001-79b4-525e-bf8a-bdb7e1bda8b5,58aa4f06-d7d8-5a98-ba56-e1d394294ec9
"Boromir, Warden of the Tower",ALTR,1,,,,,Card,art_series,6d732679-aaf4-5f9d-997f-bd794f9472a1,dc5a68af-2c64-56af-bc01-36658fbdd9ce
Fog on the Barrow-Downs,ALTR,2,,,,,Card,art_series,a60770f5-e392-5a15-a32d-30808761998d,1f2f1fb5-1430-5bf3-811f-5cdc4f66aa7a
Gandalf the White,ALTR,3,,,,,Card,art_series,909657c7-7ca2-5a3c-8df4-fa47992fa5cf,f1c36a37-a9ae-511b-a7a1-029f1b9ff666
Took Reaper,ALTR,4,,,,,Card,art_series,3d644e59-8246-54b0-8416-5d90d448e3dc,8bd168ea-3d8c-5a65-982b-8116a0cce61b
"Gandalf, Friend of the Shire",ALTR,5,,,,,Card,art_series,94ad8c6f-9fbb-54ee-a97b-0cb4761c3978,619d0fb1-40c7-51cd-80cd-06b8727cd358
"Goldberry, River-Daughter",ALTR,6,,,,,Card,art_series,662df286-5591-5307-b84a-dcd63d0f907d,72ea92c1-ea06-5029-9e4f-19e8a7b0c30a
The Watcher in the Water,ALTR,7,,,,,Card,art_series,fcfb02d6-5b8b-5ea2-aa6d-452d145de745,454cc985-3a11-5bb0-8381-969910696726
Shadow of the Enemy,ALTR,8,,,,,Card,art_series,8b86f627-d77a-55c0-b99c-c2030dfdbdca,7b9b8b73-f1d1-5d91-8509-72af42d0c422
"Éomer, Marshal of Rohan",ALTR,9,,,,,Card,art_series,c052c17a-4958-5ae3-8af7-71eca78a0dca,d7fdebfe-ba46-5fde-8f7e-e01b885d732c
"Gimli, Counter of Kills",ALTR,10,,,,,Card,art_series,a8d4b7df-74ab-5248-b903-d6495ceffbd9,ba176d6e-a430-5a5e-901b-42f81c88a49c
Generous Ent,ALTR,11,,,,,Card,art_series,c7f4cb3c-9172-53d3-9028-74cfae228ad9,744485dc-faa5-567a-85cf-b675f286c7f3
Mirrormere Guardian,ALTR,12,,,,,Card,art_series,5c77ec50-c91d-5269-9dec-682485358bc7,82e1b999-9ebf-548f-b9a4-64314fbaff18
Arwen Undómiel,ALTR,13,,,,,Card,art_series,233ee013-64a7-501c-8e7b-783d5e086e00,4f50a527-f602-510e-a683-4d7195190369
"Bilbo, Retired Burglar",ALTR,14,,,,,Card,art_series,3a2e8a53-dfd3-526e-9e43-843ac0f47d94,f49543d2-bde9-5d54-8fe0-d9f336fef7a5
"Éowyn, Fearless Knight",ALTR,15,,,,,Card,art_series,979e25cc-cf60-509d-9568-3018ef15fde5,9962e6d7-7000-5579-8c13-ba77e15bd5ed
Frodo Baggins,ALTR,16,,,,,Card,art_series,a001d0ff-8222-5f74-8b2a-82ddae55b354,998472e6-b982-5cbd-be0e-91e8797d49fb
"Legolas, Counter of Kills",ALTR,17,,,,,Card,art_series,074d85bd-fea1-5233-a65a-a486909465b8,de3a57a3-7c9f-5bf6-8aef-fa236be7ed99
The Mouth of Sauron,ALTR,18,,,,,Card,art_series,d93a6a9a-95b7-5fb1-89f9-061c3cdb897e,401f29e2-7c4b-56b1-94c3-97d8f45159fa
Samwise Gamgee,ALTR,19,,,,,Card,art_series,a88cb564-86df-590d-8dc4-29a637795dd2,fd882b05-f0c1-59bb-8fc4-f37c48cb64a4
Saruman of Many Colors,ALTR,20,,,,,Card,art_series,f9eedc71-dd3c-59af-9850-b999999dd66b,9fad44a5-7800-553b-af7a-a1744ac2516b
"Sauron, the Dark Lord",ALTR,21,,,,,Card,art_series,27d2d93c-8020-515e-b080-de88403c4ffc,d73e7dc7-1c41-54b7-ba35-457742d6b901
"Sharkey, Tyrant of the Shire",ALTR,22,,,,,Card,art_series,2410ad56-e7e5-50ef-b984-eea867aae07a,ca69c9c7-43bd-5d7b-99dd-933637ad0a3c
"Shelob, Child of Ungoliant",ALTR,23,,,,,Card,art_series,09549373-c303-50c1-b6d8-8ec71dc633da,133ea8d4-4c58-53a6-a770-f0955329360e
"Sméagol, Helpful Guide",ALTR,24,,,,,Card,art_series,6d470c3c-aae9-5465-9185-9dbcfda2cfdb,c2badf97-3ff1-5ba1-887d-5788d88a69ad
"Théoden, King of Rohan",ALTR,25,,,,,Card,art_series,20b66fdd-ac95-59a0-99ab-d51bc473fda4,a2b1062f-1896-53e4-b519-9e8477d8b0c6
Tom Bombadil,ALTR,26,,,,,Card,art_series,0607711c-0106-579c-b58c-99cd677e59fc,b20e78a3-2fac-5957-9a1f-aa1c1d59c2bb
Uglúk of the White Hand,ALTR,27,,,,,Card,art_series,3f7bdcf6-9420-5235-8cc8-f21ec6b66504,9e4968b7-fe3c-571b-964a-b67acd60ec01
"Andúril, Flame of the West",ALTR,28,,,,,Card,art_series,044ea359-8507-57ee-a967-363533c10f52,814e8f37-5d10-5025-9504-92ee185a6891
Horn of Gondor,ALTR,29,,,,,Card,art_series,fd9a1a16-211a-55b1-ac11-882bf3896a10,c215bd2f-7762-53b6-af76-132e7c5ac741
Elanor Gardner,ALTR,32,,,,,Card,art_series,65b35b95-4517-52fe-ab9b-b258e2bfb8f6,50907786-6c09-5cdc-b857-01878c415afb
"Aragorn and Arwen, Wed",ALTR,33,,,,,Card,art_series,18f3484b-1291-59af-b79f-9bfd26936642,d48d72d8-807d-5095-acb4-b3a54844fb2a
"Witch-king, Bringer of Ruin",ALTR,34,,,,,Card,art_series,720613f7-600f-57e9-8d51-4a4893ee3dd2,5ecac3af-d1f5-5256-9030-29a8d0861dce
"Galadriel, Gift-Giver",ALTR,35,,,,,Card,art_series,886f4e07-7194-54a7-a1c7-946af5418d78,0e829942-245b-5163-82e6-f84238a973ed
"The Balrog, Durin's Bane",ALTR,36,,,,,Card,art_series,9db43b20-3315-5fa3-b01c-e66f6dfe8345,39044bc0-25d3-5720-a562-ce70fc44ca71
Bilbo's Ring,ALTR,37,,,,,Card,art_series,267fbe1a-a6ae-5493-aaed-4fc75032d8ed,20357078-a38c-52d7-8a32-2fd44fbc5208
"Faramir, Field Commander",ALTR,38,,,,,Card,art_series,9d3e4822-322e-5173-9edd-e085e3ebbf31,29668ff1-dd41-57b6-ae4b-41ad951ea056
Samwise the Stouthearted,ALTR,39,,,,,Card,art_series,4b11e5d8-47ed-5362-a058-2ced3ddb37cc,2551b0d6-fb5b-528a-93e2-52acc0585242
"Elrond, Lord of Rivendell",ALTR,40,,,,,Card,art_series,8f1fc66c-e1c0-58db-9d22-0bbaf6d3ea09,a4c8907f-9d2e-5125-ad81-ab70f4423f03
"Gollum, Patient Plotter",ALTR,41,,,,,Card,art_series,ff5e1ead-810e-5fe9-b0a9-bd019750bf0c,0835451a-80b2-552b-8895-b0196221ae03
"Sauron, the Necromancer",ALTR,42,,,,,Card,art_series,d1da0ce2-03f5-5a06-9bce-70a8f33d1701,8307762b-f18b-5d31-b7f7-0a1bee22e0f5
Witch-king of Angmar,ALTR,43,,,,,Card,art_series,dbdba4a8-5b28-532c-8ed5-5a51c3d63f06,e2e023b2-1785-5212-b7e7-0d410b1be98f
"Legolas, Master Archer",ALTR,45,,,,,Card,art_series,edb60317-0e4e-5179-a753-76946ce9ea4c,e436f069-79ed-5edb-aac1-1ab1c3231769
"Aragorn, the Uniter",ALTR,46,,,,,Card,art_series,4b9e41f2-bd46-55a0-a7a3-816a2730400a,841957e6-7fb7-5206-9a1e-ea35664149e1
Galadriel of Lothlórien,ALTR,48,,,,,Card,art_series,4e0d981c-9e3c-50db-afd8-176e99751b4e,a7bb0363-5370-572e-8cbb-f1e664819567
Gandalf the Grey,ALTR,49,,,,,Card,art_series,6ad29e9a-6e41-5037-bf72-b051a34eeb6d,c0a351e7-aaac-5672-81bc-17103e26ba3b
"Merry, Esquire of Rohan",ALTR,50,,,,,Card,art_series,b57ca77e-b2c8-55f1-b92e-01bb1dfec0b7,774e3c35-f4d7-52a3-a66b-328ef85368e5
"Pippin, Guard of the Citadel",ALTR,51,,,,,Card,art_series,d69daf0d-3f80-5589-be8f-7939d4e89cf7,914c2d8b-d283-5b4c-9f56-6a58b4f50dd5
Nazgûl,ALTR,53,,,,,Card,art_series,74ac90d7-043b-5891-a1b5-3feed5260465,758f8ea6-d8a5-5746-ad69-e8f658272f43
Barad-dûr,ALTR,54,,,,,Card,art_series,48b345a8-7882-5033-82f9-c159c4c2648d,6f3f4a72-3713-5d99-93d2-d2d73292f136
Minas Tirith,ALTR,55,,,,,Card,art_series,3ba97b81-7be1-553a-8cfd-d92d6b4099dd,94b0d3f6-3b12-539e-8628-78f33f8a38cf
Mines of Moria,ALTR,56,,,,,Card,art_series,d3ca2bdf-34bb-5012-9a7c-a0a2bbcce0c6,936f55d6-03ae-5722-af63-a94f1e67e8f9
"Aragorn, King of Gondor",ALTR,57,,,,,Card,art_series,c0ee847f-bf25-5b44-bd5a-7d1f7cd5fb0a,3b3ac03b-0057-5be5-838b-c314204b71bb
"Sam, Loyal Attendant",ALTR,58,,,,,Card,art_series,d2508a07-7f34-5b71-a37b-091247fcff64,c31a3b3c-9c09-5e6d-aa5b-5fafa55acbef
"Gwaihir, Greatest of the Eagles",ALTR,59,,,,,Card,art_series,07f98e13-50b3-51a3-852b-4f55a2804a26,618bd71b-fe5a-5b82-b833-9c4036d85b00
Call for Aid,ALTR,60,,,,,Card,art_series,9238d8bc-13fd-58b5-ab1b-6a2dbd1a32d8,2e347d90-f2aa-5c9e-a894-5f6ac8d29545
Cavern-Hoard Dragon,ALTR,61,,,,,Card,art_series,4802d49d-98d9-52a0-8472-b94a7f7baa7d,1c52cfbd-73c1-5658-a7dc-7094a214e761
"Faramir, Steward of Gondor",ALTR,62,,,,,Card,art_series,a16754cc-104e-5ee6-8bb8-b2c955f12bc5,e965d12f-c384-52d7-ba75-596b7744b901
"Gríma, Saruman's Footman",ALTR,63,,,,,Card,art_series,4d7b9168-88e4-5c64-a3c7-06407eec3a35,4888a8c9-d370-50f4-ad5f-305041b087be
Lord of the Nazgûl,ALTR,64,,,,,Card,art_series,2c7f1438-b566-52f2-a10c-a4aaddaef403,9d99a55a-4855-5413-8d10-8aacd16faa0f
"Merry, Warden of Isengard",ALTR,65,,,,,Card,art_series,20b425b6-3a59-5bd4-8a8b-d5457951dac9,435a58b3-ba60-53d4-b1eb-cbc444e5e2a7
"Pippin, Warden of Isengard",ALTR,66,,,,,Card,art_series,31bce170-0700-5707-8d0d-42953d3a7b01,a2b5c636-4710-55f9-8d06-c3f42c275ff0
"Treebeard, Gracious Host",ALTR,67,,,,,Card,art_series,31397c9c-8af4-5cbf-9055-cb63e3332e06,284cc8d2-d1ea-5c8c-bb8c-c4a6889dccf8
Marshal's Anthem,ALTR,68,,,,,Card,art_series,1e8badf5-e490-54ea-bb3e-daa1ce68dc95,8a045c12-2fc1-57f0-a9de-9cac0ebe7f42
Boon of the Wish-Giver,ALTR,69,,,,,Card,art_series,fc469380-1517-5a74-8c2b-fcdeb5d0c1f4,44724744-78a7-5f51-a18a-b05480e6a8f3
Learn from the Past,ALTR,70,,,,,Card,art_series,96c2f203-ce68-59a4-baf8-b5ac9d17d712,cdb37ec6-46fc-5575-9c82-88cd91bd61cc
Thrill of Possibility,ALTR,71,,,,,Card,art_series,82017aba-191f-5983-afb4-fb28f306d678,33a02440-2bd0-5492-a86e-64c06ce5703c
Asceticism,ALTR,72,,,,,Card,art_series,b0daa3d6-9011-5488-a608-9f6e110da8a6,ed04a3fc-002a-555e-8aa9-5a76422ad851
Heroic Intervention,ALTR,73,,,,,Card,art_series,38911f72-0c78-54ae-9bc1-abf5ef7907ef,abe03d8a-4506-5b87-8e83-927f99b8ad6e
Realm Seekers,ALTR,74,,,,,Card,art_series,c8799be2-834a-5fdc-89bc-b0fc80d97ee0,398c4c89-fa93-5c17-8e0c-e47dfa62515d
Commander's Sphere,ALTR,75,,,,,Card,art_series,7e8aae2e-425f-5a0f-8102-f467c8165029,0b5c9dba-a5b4-5851-b285-ea09469d7eaf
Field of Ruin,ALTR,77,,,,,Card,art_series,b79ef768-e5f4-5935-b8c0-7fd656ccee47,09ecbbeb-a161-5ba0-8619-bb24beb46fb5
Ghost Quarter,ALTR,78,,,,,Card,art_series,a11059d9-4384-5c84-b344-36eff94c685a,ee4ca7eb-3dc8-58fe-a0ad-e5a122b41cc3
The Dead Marshes,ALTR,79,,,,,Card,art_series,b853afa6-3a4b-5ce0-8f13-6004b9a657da,d1fdd23b-ff9e-5018-9de3-7832736c3e98
Valley of Gorgoroth,ALTR,80,,,,,Card,art_series,64c5837e-fe84-52c5-b77a-f4c9ffc63678,8ea39cf5-df5e-533d-b8e8-1302d3e47af1
Treefolk,ALTR,81,,,,,Card,art_series,6086bfc0-2c41-5a20-b712-92e306a851ee,0e0205d1-a647-5dda-82b4-c1f6d78fd667
Chillerpillar,AMH1,1,,,,,Card,art_series,d4588e8f-e5a0-53e5-ac90-0a5183f0d118,75138b6b-c6a8-5f2f-b82f-08d9c04ecc8d
Watcher for Tomorrow,AMH1,2,,,,,Card,art_series,098adb8e-bec0-512e-a347-4724ec19fa5a,25ee4a42-d60a-5989-abe4-901a9a363881
Scour All Possibilities,AMH1,3,,,,,Card,art_series,3b98e446-7c40-52bc-b74f-f534005fe04c,3f38e791-902c-5f99-a923-d2b17ad5c001
Bazaar Trademage,AMH1,4,,,,,Card,art_series,788af8cb-45e4-5aff-9ea0-4c5777208769,ebcdea30-9274-5101-bc99-dd6094940071
Serra the Benevolent,AMH1,5,,,,,Card,art_series,fb8e9d2f-73df-50b8-8fc5-4d50cb80c5ff,7c438f8b-f101-5472-aa1e-64e71f8649c5
Wrenn and Six,AMH1,6,,,,,Card,art_series,093c8cec-a6bf-5150-9994-74a93702c9dc,672930f1-9b7d-56b1-a41a-7ad6e7a8a8c6
Endling,AMH1,7,,,,,Card,art_series,885587f4-6657-594c-be4a-40d726361ae9,6659ad9d-172d-579d-a46e-46b46c650cc5
Warteye Witch,AMH1,8,,,,,Card,art_series,2f217897-400a-51eb-8342-b3cce52ed3a3,e2009c1b-a0ad-5bb9-afc9-f570df08dbb0
Throes of Chaos,AMH1,9,,,,,Card,art_series,c42c940c-daab-5bb5-a106-fe2d4c0174f7,e865650e-1344-56f6-a8a1-59be08899c42
"Ayula, Queen Among Bears",AMH1,10,,,,,Card,art_series,126b93c5-0f36-5550-b2f0-da037430f332,9c64b82b-f59d-5e71-8d80-59d71a734ae4
Ranger-Captain of Eos,AMH1,11,,,,,Card,art_series,701dcbc1-659a-5b77-8eda-2157fec85d8d,3972aae0-a52d-5593-914d-0fd42d24ee3d
Zhalfirin Decoy,AMH1,12,,,,,Card,art_series,ae874e15-f2d4-520a-9f11-5ddaf67949d8,877d415f-4e30-51d0-8f34-8dcb1372065a
"Yawgmoth, Thran Physician",AMH1,14,,,,,Card,art_series,399a57ec-53b6-583f-8911-d1ed6c4c1ed6,4ef12dab-e676-5894-aa75-e7894c0a6014
Umezawa's Charm,AMH1,15,,,,,Card,art_series,1778e8d9-63e4-5e2b-a903-c084717fa60c,9edff403-6612-5c4f-8be8-8b1a32ac6a4a
"Sisay, Weatherlight Captain",AMH1,16,,,,,Card,art_series,21b1547f-eee5-5bc4-a7d4-131c39683ac9,0433976b-1adf-5b26-8a88-ed247f22a86d
Goblin Matron,AMH1,17,,,,,Card,art_series,3b799389-a65e-5c59-8616-ef70d8c0b896,56914db2-d36f-5479-8088-4e569238bbab
Pashalik Mons,AMH1,18,,,,,Card,art_series,172c18f4-0264-55b9-8d6b-68cc611867b4,3e12e57f-5854-57de-ac50-7a217d21be7c
Smoke Shroud,AMH1,19,,,,,Card,art_series,c512b9ad-3fa2-5df3-a6d4-73726c2e5e7a,87505ef3-5e05-5467-87e6-d9fbccbbeb89
Throatseeker,AMH1,20,,,,,Card,art_series,3a7a1a06-eda5-5f0b-90a4-e72016161d63,1f72d768-419b-59fd-8bc5-3d73e3f66cb9
Ingenious Infiltrator,AMH1,21,,,,,Card,art_series,febcae8a-121f-50dc-8ae5-ee03d7adf2c8,15c08844-8b76-57ca-a00a-46060982202d
Ninja of the New Moon,AMH1,22,,,,,Card,art_series,a2f53d2a-dfe5-5c98-9682-d33b405b7524,501fa3be-2904-5e49-b3fa-5d7f911961e5
Lancer Sliver,AMH1,24,,,,,Card,art_series,756548fa-c341-5dc0-8a5a-e7692d77377a,2a7405f8-cec9-570b-8d37-af8ac72b58e7
Enduring Sliver,AMH1,25,,,,,Card,art_series,b09465a4-9372-5d3b-ad25-2be5760c2791,cebda411-f35d-5e9f-81a0-6d8310c83185
First Sliver's Chosen,AMH1,26,,,,,Card,art_series,a451dcd7-a258-5721-9732-b8ccf71c1763,3ecb130f-22d6-57e9-b4b4-4b398a0391e6
Dregscape Sliver,AMH1,27,,,,,Card,art_series,648155eb-617d-5a5a-8543-5c7c19a0048a,08499582-19f3-5952-adb5-a248db693ea9
Soulherder,AMH1,28,,,,,Card,art_series,1a4a3c17-bd15-50de-b925-995751333356,db41ea6b-03cc-51f5-852b-e19cc6ffe25d
Force of Despair,AMH1,29,,,,,Card,art_series,01958b3e-4fc1-56df-a433-f9d5e0a7f875,1d98273c-4a0d-5353-8f4b-7e64a03a56d4
Answered Prayers,AMH1,30,,,,,Card,art_series,8e6a5504-0b1b-5a69-9bf1-668018c380ab,285cb1e8-6db8-5435-af18-6661ca0590d8
Winds of Abandon,AMH1,31,,,,,Card,art_series,a42d5f74-4f2a-5643-8b1b-5b13cafc4592,b1d9a278-0d3d-594a-925f-c371e8346bf5
Everdream,AMH1,32,,,,,Card,art_series,ea8bb1e5-7456-5ada-bef3-ad2cbd5cbba3,e836174b-2c8f-5190-b17e-134b4873049a
Mind Rake,AMH1,33,,,,,Card,art_series,f244a5bb-7888-5358-b0fe-a9d81f05c54a,4acb58b1-9f60-5a84-be51-893a63c773b7
Echo of Eons,AMH1,34,,,,,Card,art_series,703948f3-e813-583d-90f0-3e50f884b5ce,4ddedc66-7ce2-5f18-9925-24c4ea67892e
Face of Divinity,AMH1,35,,,,,Card,art_series,6077db44-7ff7-5e15-82e8-9f8456c8f213,ef30585b-6c80-5479-92c2-5612f0a2bebd
Ephemerate,AMH1,36,,,,,Card,art_series,bbac7ac7-7da2-5f7b-937b-cb93053c62d0,4396ede5-2d60-5cfb-828b-d8e1e96bd12e
Ravenous Giant,AMH1,37,,,,,Card,art_series,5c5a1489-360c-53eb-b032-862ad543b6cb,40569966-b120-50f1-91db-68407db9696e
Spinehorn Minotaur,AMH1,38,,,,,Card,art_series,71cd1c6b-8c66-50a5-beec-ffbcbb3ce5ac,a0ac1388-72c4-5d61-896e-6e505ad0de57
Lesser Masticore,AMH1,39,,,,,Card,art_series,8dc09c51-def6-593f-afa6-2eb2eea886e1,41fb96f2-2327-5068-adce-0bfb139b072e
Mirrodin Besieged,AMH1,40,,,,,Card,art_series,924afc87-c3a1-543e-8547-172cf37f7a7b,23f3efa0-01bb-589b-9355-537ae862ff58
Lightning Skelemental,AMH1,41,,,,,Card,art_series,18d84878-ee55-5cbb-8937-bd78bc9f94b8,40fa48cb-8427-516d-a16f-2d69431ac2ea
"Hogaak, Arisen Necropolis",AMH1,42,,,,,Card,art_series,c228eac0-059e-564d-9304-395311907f2d,4b0b98e9-9d2d-572d-9679-ecc08a300b80
Excavating Anurid,AMH1,43,,,,,Card,art_series,82ac0056-b48a-540d-879f-d864651b545c,647eb9a2-1cde-55be-96db-3e85731a4a92
Headless Specter,AMH1,44,,,,,Card,art_series,9537798a-46b6-5f01-8411-4a47ac2b0af1,56a350bc-67c8-5f4f-838a-ac9f395661b0
Plague Engineer,AMH1,45,,,,,Card,art_series,d57d470f-ef2a-51a5-a227-a92cde0c5c27,8485ed67-7aa6-5607-a62f-2910397db857
Sword of Truth and Justice,AMH1,46,,,,,Card,art_series,bd2c61f6-d17d-5243-94ad-b0349f0bd113,b2535e2f-b0d7-5e6d-a2ab-5fd43a90e657
Sword of Sinew and Steel,AMH1,47,,,,,Card,art_series,561462ca-e26e-5b7d-8bf6-5c78b11290cc,f8069b4f-33e8-5697-b697-d99211bb9a53
Prismatic Vista,AMH1,48,,,,,Card,art_series,4d913a49-01c2-53bc-b592-699d28417ce8,d5d02f21-dd60-5429-8bb8-0f4564ab682b
Wall of One Thousand Cuts,AMH1,49,,,,,Card,art_series,bec93647-58e6-503d-b276-1ab475cdd2de,40ae769e-1994-5f4c-92cf-8196378d49f9
Rebuild,AMH1,50,,,,,Card,art_series,f1c18211-e861-55bf-9a71-1c39511b0071,363d4ebf-73b4-5920-8ff9-9cbc8cd9a672
Silent Clearing,AMH1,51,,,,,Card,art_series,0b952d69-5db0-59c2-810b-d4b10d452872,73c978c2-e1ec-59b5-9341-de3ea776839b
Waterlogged Grove,AMH1,52,,,,,Card,art_series,f4fd7a72-ccf6-55a0-a14a-bfe1e6519f55,e72eeb51-b6d7-5875-a1b8-871797907110
Arcum's Astrolabe,AMH1,53,,,,,Card,art_series,3453b304-ca17-5da2-9c6d-815f70cff2d2,52135807-62f7-5d49-bb14-68155bdbb8ea
Mox Tantalite,AMH1,54,,,,,Card,art_series,f96f4dc9-b88d-5c66-a52a-0aea3e7cc851,b3740c95-1e2c-504b-bb05-0b585dc8aaeb
Blossoming Calm,AMH2,1,,,,,Card,art_series,953edf96-def6-5ad2-94fc-049803770d58,9e3ca68b-7463-5d2f-9210-f2d87b79ce44
Glorious Enforcer,AMH2,2,,,,,Card,art_series,b1f32590-7f4c-58db-97a1-9f58331b8cf1,5d0a9689-8b31-5a20-bd08-4618dff781e2
Late to Dinner,AMH2,3,,,,,Card,art_series,560a47b1-b428-52df-a6b9-921b8e8b7c44,9e004838-8306-5af8-a940-bbe7360281da
Piercing Rays,AMH2,4,,,,,Card,art_series,c89cce13-857d-59ae-8bf4-3ce4e38f2f78,ea9e308f-2013-5605-8345-ba87a68a6200
Prismatic Ending,AMH2,5,,,,,Card,art_series,1ade2773-d4b2-52dc-a1c6-7d71015a8106,abbe2abe-7c4b-5c9c-8fe5-313cb3a0c270
Sanctifier en-Vec,AMH2,6,,,,,Card,art_series,68f745ae-483a-5083-bff2-069139344178,b29840fd-f253-538c-9642-469afb0d7ea2
Search the Premises,AMH2,7,,,,,Card,art_series,70de30e5-5c5b-5ee4-9e4e-808f2d37d0b9,b0c80a9b-bcef-5dd8-9a60-a5c33fabc71a
Serra's Emissary,AMH2,8,,,,,Card,art_series,7a1f57a6-1b09-5a0c-967c-c7ddbeffcd25,478b42c0-ddba-5a0b-b88d-f83de2597a32
