name,setCode,number,power,toughness,manaCost,text,type,layout,uuid,otherFaceIds,relatedCards
Lost Mine of Phandelver,TAFR,21,,,,"Cave Entrance — Scry 1. (Leads to: Goblin Lair, Mine Tunnels)\nGoblin Lair — Create a 1/1 red Goblin creature token. (Leads to: Storeroom, Dark Pool)\nMine Tunnels — Create a Treasure token. (Leads to: Dark Pool, Fungi Cavern)\nStoreroom — Put a +1/+1 counter on target creature. (Leads to: Temple of Dumathoin)\nDark Pool — Each opponent loses 1 life and you gain 1 life. (Leads to: Temple of Dumathoin)\nFungi Cavern — Target creature gets -4/-0 until your next turn. (Leads to: Temple of Dumathoin)\nTemple of Dumathoin — Draw a card.",Dungeon,normal,deb0e4bd-0431-526c-8ad7-d10716d4d58f,,"{""reverseRelated"": [""Acererak the Archlich"", ""Bar the Gate"", ""Barrowin of Clan Undurr"", ""Clattering Skeletons"", ""Cloister Gargoyle"", ""Delver's Torch"", ""Displacer Beast"", ""Dungeon Descent"", ""Dungeon Map"", ""Dungeon of the Mad Mage"", ""Eccentric Apprentice"", ""Ellywick Tumblestrum"", ""Fates' Reversal"", ""Fifty Feet of Rope"", ""Find the Path"", ""Fly"", ""Gloom Stalker"", ""Goblin"", ""Immovable Rod"", ""Intrepid Outlander"", ""Kick in the Door"", ""Midnight Pathlighter"", ""Nadaar, Selfless Paladin"", ""Planar Ally"", ""Precipitous Drop"", ""Radiant Solar"", ""Ranger's Hawk"", ""Secret Door"", ""Sefris of the Hidden Ways"", ""Shortcut Seeker"", ""Thorough Investigation"", ""Tomb of Annihilation"", ""Treasure"", ""Triumphant Adventurer"", ""Varis, Silverymoon Ranger"", ""Veteran Dungeoneer"", ""Wandering Troubadour"", ""You Find a Cursed Idol"", ""Yuan-Ti Fang-Blade"", ""Yuan-Ti Malison"", ""Zalto, Fire Giant Duke"", ""Zombie Ogre""]}"
Tomb of Annihilation,TAFR,22,,,,"Trapped Entry — Each player loses 1 life. (Leads to: Veils of Fear, Oubliette)\nVeils of Fear — Each player loses 2 life unless they discard a card. (Leads to: Sandfall Cell)\nSandfall Cell — Each player loses 2 life unless they sacrifice a creature, artifact, or land. (Leads to: Cradle of the Death God)\nOubliette — Discard a card and sacrifice a creature, an artifact, and a land. (Leads to: Cradle of the Death God)\nCradle of the Death God — Create The Atropal, a legendary 4/4 black God Horror creature token with deathtouch.",Dungeon,normal,a7f3efba-4ee7-57b3-94c3-8bc4e91ae75d,,"{""reverseRelated"": [""Acererak the Archlich"", ""Bar the Gate"", ""Barrowin of Clan Undurr"", ""Clattering Skeletons"", ""Cloister Gargoyle"", ""Delver's Torch"", ""Displacer Beast"", ""Dungeon Descent"", ""Dungeon Map"", ""Dungeon of the Mad Mage"", ""Eccentric Apprentice"", ""Ellywick Tumblestrum"", ""Fates' Reversal"", ""Fifty Feet of Rope"", ""Find the Path"", ""Fly"", ""Gloom Stalker"", ""Immovable Rod"", ""Intrepid Outlander"", ""Kick in the Door"", ""Lost Mine of Phandelver"", ""Midnight Pathlighter"", ""Nadaar, Selfless Paladin"", ""Planar Ally"", ""Precipitous Drop"", ""Radiant Solar"", ""Ranger's Hawk"", ""Secret Door"", ""Sefris of the Hidden Ways"", ""Shortcut Seeker"", ""The Atropal"", ""Thorough Investigation"", ""Triumphant Adventurer"", ""Varis, Silverymoon Ranger"", ""Veteran Dungeoneer"", ""Wandering Troubadour"", ""You Find a Cursed Idol"", ""Yuan-Ti Fang-Blade"", ""Yuan-Ti Malison"", ""Zalto, Fire Giant Duke"", ""Zombie Ogre""]}"
Angel of Sanctions,TAKH,1,3,4,,"Flying\nWhen Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.",Token Creature — Zombie Angel,token,5d60c9c8-5f5a-58b1-9271-410bd0879b56,,
Anointer Priest,TAKH,2,1,3,,"Whenever a creature token enters the battlefield under your control, you gain 1 life.",Token Creature — Zombie Human Cleric,token,ffea7959-8128-5703-b08d-0456bc5e59e4,,
Aven Wind Guide,TAKH,4,2,3,,"Flying, vigilance\nCreature tokens you control have flying and vigilance.",Token Creature — Zombie Bird Warrior,token,7993f19a-e1ab-55be-a5be-82cfbd6dceac,,
Glyph Keeper,TAKH,5,5,3,,"Flying\nWhenever Glyph Keeper becomes the target of a spell or ability for the first time each turn, counter that spell or ability.",Token Creature — Zombie Sphinx,token,7de9db3f-95d8-5e17-bba0-864b205da459,,
Heart-Piercer Manticore,TAKH,6,4,3,,"When Heart-Piercer Manticore enters the battlefield, you may sacrifice another creature. When you do, Heart-Piercer Manticore deals damage equal to that creature's power to any target.",Token Creature — Zombie Manticore,token,d221c39f-0f44-5d8b-a246-e5bb061b466a,,
Honored Hydra,TAKH,7,6,6,,Trample,Token Creature — Zombie Snake Hydra,token,ec0ab5d6-95e0-5d59-ac3f-6d6f69ab109e,,
Labyrinth Guardian,TAKH,8,2,3,,"When Labyrinth Guardian becomes the target of a spell, sacrifice it.",Token Creature — Zombie Illusion Warrior,token,95acee24-bd84-578d-9bdb-6740843423e4,,
Oketra's Attendant,TAKH,9,3,3,,Flying,Token Creature — Zombie Bird Soldier,token,5769a877-f6e1-5479-8679-44e2a655b3c6,,
Sacred Cat,TAKH,10,1,1,,Lifelink,Token Creature — Zombie Cat,token,455416fe-e5a6-57bd-8f3b-f0d24770cff6,,
Tah-Crop Skirmisher,TAKH,11,2,1,,,Token Creature — Zombie Naga Warrior,token,d21fa0d2-7baa-5abc-b7f7-866f7c71197c,,
"Temmet, Vizier of Naktamun",TAKH,12,2,2,,"Temmet, Vizier of Naktamun is legendary.\nAt the beginning of combat on your turn, target creature token you control gets +1/+1 until end of turn and can't be blocked this turn.",Token Creature — Zombie Human Cleric,token,6041f40e-4280-5861-916b-0e93b2f4a80d,,
Trueheart Duelist,TAKH,13,2,2,,Trueheart Duelist can block an additional creature each combat.,Token Creature — Zombie Human Warrior,token,7636b4d6-167c-599c-bbd5-c9902a8264b4,,
Unwavering Initiate,TAKH,14,3,2,,Vigilance,Token Creature — Zombie Human Warrior,token,15035eeb-889c-512f-9b16-5532d151b56a,,
Vizier of Many Faces,TAKH,15,0,0,,"You may have Vizier of Many Faces enter the battlefield as a copy of any creature on the battlefield, except has no mana cost, it's white, and it's a Zombie in addition to its other types.",Token Creature — Zombie Shapeshifter Cleric,token,d2f89cc8-d965-508e-b98d-c2bb51b5d8de,,
Cat,TAKH,16,1,1,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),Token Creature — Cat,token,909fb00f-9bf6-563a-9dab-1a1ec252d97e,,"{""reverseRelated"": [""Ajani, Adversary of Tyrants"", ""Ajani, Adversary of Tyrants Emblem"", ""Cubwarden"", ""Leonin Warleader"", ""Liberated Livestock"", ""Pride Sovereign"", ""Regal Caracal""]}"
Warrior,TAKH,17,1,1,,Vigilance,Token Creature — Warrior,token,9100049f-4585-5c92-8a35-98ae8a4effb8,,"{""reverseRelated"": [""Cartouche of Solidarity"", ""Oketra the True"", ""Oketra's Monument"", ""Start // Finish"", ""Steward of Solidarity"", ""Supply Caravan""]}"
Insect,TAKH,19,1,1,,,Token Creature — Insect,token,161588d4-baa0-5561-ad4b-a1107639c5c7,,"{""reverseRelated"": [""Nest of Scarabs""]}"
Beast,TAKH,21,4,2,,,Token Creature — Beast,token,f46a6204-28fa-5704-8b0f-f13a2f8e23ff,,"{""reverseRelated"": [""Trial of Strength""]}"
Hippo,TAKH,22,3,3,,,Token Creature — Hippo,token,2851fca7-1dd8-52e3-81ea-2ac617521b36,,"{""reverseRelated"": [""Mouth // Feed""]}"
Snake,TAKH,23,1,1,,Deathtouch,Token Creature — Snake,token,cf497fe2-7f92-5fcf-bd9f-9e0831988e8c,,"{""reverseRelated"": [""Hapatra, Vizier of Poisons""]}"
Wurm,TAKH,24,5,5,,,Token Creature — Wurm,token,59e3bd40-8468-5afc-b33f-8464378c862a,,"{""reverseRelated"": [""Sandwurm Convergence""]}"
Gideon of the Trials Emblem,TAKH,25,,,,"As long as you control a Gideon planeswalker, you can't lose the game and your opponents can't win the game.",Emblem — Gideon,emblem,84f5dfde-13b4-5244-9a34-938d9e470857,,"{""reverseRelated"": [""Gideon of the Trials""]}"
Punchcard,TAKH,26,,,,,Card,token,b80a2d58-5c15-5c6f-89f4-e2635d621dc0,,
Homunculus,TALA,2,0,1,,,Token Artifact Creature — Homunculus,token,f11ebafa-5f5f-5ae3-9d32-a18e812e74b9,,"{""reverseRelated"": [""Puppet Conjurer""]}"
Dragon,TALA,6,4,4,,Flying,Token Creature — Dragon,token,7c8f18d1-8d46-5d55-89f2-0441c12fd638,,"{""reverseRelated"": [""Broodmate Dragon"", ""Descent of the Dragons"", ""Dragon Cultist"", ""Dragon Whisperer"", ""Rith, Liberated Primeval"", ""Rohgahh, Kher Keep Overlord"", ""Sarkhan Unbroken"", ""Sarkhan Vol"", ""Sarkhan the Masterless"", ""The Elder Dragon War""]}"
Beast,TALA,10,8,8,,,Token Creature — Beast,token,e73801f6-f0d4-5bce-b7ef-b559c990a996,,"{""reverseRelated"": [""Godsire""]}"
Bird Soldier,TARB,1,1,1,,Flying,Token Creature — Bird Soldier,token,ba9ae285-6acc-5b86-b278-e08a9343f03f,,"{""reverseRelated"": [""Flurry of Wings""]}"
Lizard,TARB,2,2,2,,,Token Creature — Lizard,token,f0c20d71-8d21-5252-abbe-0e52f758a157,,"{""reverseRelated"": [""Predatory Advantage""]}"
Dragon,TARB,3,1,1,,"Flying, devour 2",Token Creature — Dragon,token,ad66a158-b3c3-5194-98b2-a8b263cc9d00,,"{""reverseRelated"": [""Dragon Broodmother""]}"
Zombie Wizard,TARB,4,1,1,,,Token Creature — Zombie Wizard,token,80cadb0d-9c14-5cfa-a90f-76310cc9e4b2,,"{""reverseRelated"": [""Lich Lord of Unx""]}"
Spirit,TAVR,4,1,1,,Flying,Token Creature — Spirit,token,c992e266-a14b-5f4f-90dd-0b271c54c87d,,"{""reverseRelated"": [""Geist Snatch"", ""Saint Traft and Rem Karolus""]}"
Human,TAVR,7,1,1,,,Token Creature — Human,token,e4207f06-6f40-59b1-b699-f6e453af79db,,"{""reverseRelated"": [""Hanweir Garrison"", ""Saint Traft and Rem Karolus"", ""Stensia Uprising"", ""Thatcher Revolt""]}"
"Tamiyo, the Moon Sage Emblem",TAVR,8,,,,"You have no maximum hand size.\nWhenever a card is put into your graveyard from anywhere, you may return it to your hand.",Emblem — Tamiyo,emblem,0675aa73-0756-581d-b2d7-10712b724ac8,,"{""reverseRelated"": [""Tamiyo, the Moon Sage""]}"
Warrior,TBBD,2,1,1,,,Token Creature — Warrior,token,af73896d-f81a-55bd-808d-e4821ddf559a,,"{""reverseRelated"": [""Blaring Recruiter"", ""Herald of Anafenza"", ""Mardu Charm"", ""Mardu Hordechief"", ""Najeela, the Blade-Blossom"", ""Regna, the Redeemer"", ""Secure the Wastes"", ""Take Up Arms"", ""The Cave of Skulls"", ""The War Games""]}"
Zombie Giant,TBBD,4,5,5,,,Token Creature — Zombie Giant,token,2b955244-b333-5888-916c-7013fa64a011,,"{""reverseRelated"": [""Quest for the Gravelord""]}"
Will Kenrith Emblem,TBBD,7,,,,"Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy.",Emblem — Will,emblem,5f2d02fd-ad16-5d41-8e9c-d1ce5b836848,,"{""reverseRelated"": [""Will Kenrith""]}"
Rowan Kenrith Emblem,TBBD,8,,,,"Whenever you activate an ability that isn't a mana ability, copy it. You may choose new targets for the copy.",Emblem — Rowan,emblem,b62b4bf6-0917-5920-b360-885e30fd39bf,,"{""reverseRelated"": [""Rowan Kenrith""]}"
Eldrazi,TBFZ,1,10,10,,,Token Creature — Eldrazi,token,c2fb5049-79aa-5d1b-98a8-b8e5a2997ceb,,"{""reverseRelated"": [""Desolation Twin"", ""Idol of Oblivion""]}"
Knight Ally,TBFZ,5,2,2,,,Token Creature — Knight Ally,token,e31700d9-327d-5e8e-b8d9-c7527922db9a,,"{""reverseRelated"": [""Allied Reinforcements"", ""Gideon, Ally of Zendikar""]}"
Kor Ally,TBFZ,6,1,1,,,Token Creature — Kor Ally,token,f3e2cc8f-c56e-550d-9604-c52722e1d945,,"{""reverseRelated"": [""Captain's Claws"", ""Oath of Gideon"", ""Retreat to Emeria"", ""Unified Front""]}"
Octopus,TBFZ,7,8,8,,,Token Creature — Octopus,token,054c2216-1a1d-5e06-af97-fd864688227e,,"{""reverseRelated"": [""Crush of Tentacles"", ""Kiora, Master of the Depths""]}"
Elemental,TBFZ,9,3,1,,"Trample, haste",Token Creature — Elemental,token,22800811-dd59-5787-bb06-d9bdd23eacf5,,"{""reverseRelated"": [""Akoum Stonewaker"", ""Force of Rage"", ""Valduk, Keeper of the Flame""]}"
Plant,TBFZ,10,1,1,,,Token Creature — Plant,token,0c4a1f92-77f2-5332-a3d6-e6d087c915d0,,"{""reverseRelated"": [""Grismold, the Dreadsower"", ""Grovetender Druids""]}"
Elemental,TBFZ,11,5,5,,,Token Creature — Elemental,token,1fe99bbe-0572-5f86-9a6d-31c15cd68542,,"{""reverseRelated"": [""Omnath, Locus of Rage""]}"
"Gideon, Ally of Zendikar Emblem",TBFZ,12,,,,Creatures you control get +1/+1.,Emblem — Gideon,emblem,0345e01d-3065-59fe-9326-cccd3b49ff26,,"{""reverseRelated"": [""Gideon, Ally of Zendikar""]}"
Ob Nixilis Reignited Emblem,TBFZ,13,,,,"Whenever a player draws a card, you lose 2 life.",Emblem — Nixilis,emblem,b4c96854-da57-5211-975f-8dc9debcbff2,,"{""reverseRelated"": [""Ob Nixilis Reignited""]}"
"Kiora, Master of the Depths Emblem",TBFZ,14,,,,"Whenever a creature enters the battlefield under your control, you may have it fight target creature.",Emblem — Kiora,emblem,7512bead-cee3-56fc-8619-83840027c735,,"{""reverseRelated"": [""Kiora, Master of the Depths""]}"
Bat,TBIG,1,2,1,,Flying,Token Creature — Bat,token,b27f7542-51ce-5c9b-8042-37377b10d01b,,"{""reverseRelated"": [""Greed's Gambit""]}"
Blood,TBIG,2,,,,"{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card.",Token Artifact — Blood,token,309ddf88-4480-5518-8c98-1f1e60b013dc,,"{""reverseRelated"": [""Anje, Maid of Dishonor"", ""Arterial Alchemy"", ""Belligerent Guest"", ""Blood Fountain"", ""Blood Petal Celebrant"", ""Blood Servitor"", ""Bloodcrazed Socialite"", ""Bloodtithe Harvester"", ""Bloodvial Purveyor"", ""Bloody Betrayal"", ""Ceremonial Knife"", ""Exsanguinator Cavalry"", ""Falkenrath Celebrants"", ""Falkenrath Forebear"", ""Glass-Cast Heart"", ""Gluttonous Guest"", ""Grisly Ritual"", ""Kamber, the Plunderer"", ""Lacerate Flesh"", ""Markov Enforcer"", ""Odric, Blood-Cursed"", ""Old Rutstein"", ""Olivia's Attendants"", ""Pointed Discussion"", ""Restless Bloodseeker // Bloodsoaked Reveler"", ""Sanguine Brushstroke"", ""Sanguine Statuette"", ""Sigarda's Imprisonment"", ""Strefan, Maurer Progenitor"", ""Syphon Essence"", ""Transmutation Font"", ""Vampire's Kiss"", ""Vampires' Vengeance"", ""Voldaren Bloodcaster // Bloodbat Summoner"", ""Voldaren Epicure"", ""Voldaren Estate""]}"
Construct,TBIG,3,0,0,,This creature gets +1/+1 for each artifact you control.,Token Artifact Creature — Construct,token,c0107955-7c56-5df9-9df1-740a54f52416,,"{""reverseRelated"": [""Digsite Engineer"", ""Karn, Scion of Urza"", ""Simulacrum Synthesizer"", ""Urza's Command"", ""Urza's Saga"", ""Urza, Chief Artificer"", ""Urza, Lord High Artificer""]}"
Food,TBIG,4,,,,"{2}, {T}, Sacrifice this artifact: You gain 3 life.",Token Artifact — Food,token,9300919a-d231-50be-9f4b-3ed4a4258350,,"{""reverseRelated"": [""Academy Manufactor"", ""Apothecary White"", ""Applejack"", ""Astrid Peth"", ""Bake into a Pie"", ""Bartered Cow"", ""Bill the Pony"", ""Boar"", ""Brandywine Farmer"", ""Bristlebud Farmer"", ""Butterbur, Bree Innkeeper"", ""Cirith Ungol Patrol"", ""Concession Stand"", ""Curious Pair // Treats to Share"", ""Devouring Sugarmaw // Have for Dinner"", ""Eastfarthing Farmer"", ""Elanor Gardner"", ""Experimental Confectioner"", ""Fae Offering"", ""Farmer Cotton"", ""Feasting Troll King"", ""Feed the Cauldron"", ""Fell the Pheasant"", ""Field-Tested Frying Pan"", ""Fierce Witchstalker"", ""Food Coma"", ""Foreboding Fruit"", ""Fortifying Provisions"", ""Galadriel, Gift-Giver"", ""Generous Ent"", ""Giant"", ""Giant Opportunity"", ""Giant's Skewer"", ""Gift Shop"", ""Gilded Goose"", ""Gingerbread Cabin"", ""Gingerbread Hunter // Puny Snack"", ""Gluttonous Troll"", ""Graham O'Brien"", ""Greta, Sweettooth Scourge"", ""Gumdrop Poisoner // Tempt with Treats"", ""Gyome, Master Chef"", ""Hollow Scavenger // Bakery Raid"", ""Intrepid Trufflesnout // Go Hog Wild"", ""Killer Service"", ""Late to Dinner"", ""Madame Vastra"", ""Many Partings"", ""Meriadoc Brandybuck"", ""Mintstrosity"", ""Night of the Sweets' Revenge"", ""Nuka-Cola Vending Machine"", ""Oath of the Grey Host"", ""Of Herbs and Stewed Rabbit"", ""Oko, Thief of Crowns"", ""Old Flitterfang"", ""Orchard Strider"", ""Overcooked"", ""Overencumbered"", ""Peregrin Took"", ""Pippin, Warden of Isengard"", ""Provisions Merchant"", ""Questionable Cuisine"", ""Rapacious Guest"", ""Restless Cottage"", ""Return from the Wilds"", ""Revive the Shire"", ""Rocco, Street Chef"", ""Rosie Cotton of South Lane"", ""Sam, Loyal Attendant"", ""Samwise Gamgee"", ""Savvy Hunter"", ""Scream Puff"", ""Second Breakfast"", ""Shelob's Ambush"", ""Sierra, Nuka's Biggest Fan"", ""Skybeast Tracker"", ""Sophia, Dogged Detective"", ""Spectrox Mines"", ""Spider Food"", ""Stew the Coneys"", ""Survivor's Med Kit"", ""Sweettooth Witch"", ""Taste of Death"", ""Tempting Witch"", ""The Battle of Bywater"", ""The Dining Car"", ""The Eleventh Hour"", ""The Fourth Doctor"", ""The Goose Mother"", ""The Shire"", ""The Third Doctor"", ""The Underworld Cookbook"", ""The Wilds"", ""The Witch's Vanity"", ""Tireless Provisioner"", ""Tough Cookie"", ""Trail of Crumbs"", ""Transmutation Font"", ""Treebeard, Gracious Host"", ""Turn into a Pumpkin"", ""Vault 101: Birthday Party"", ""Voracious Fell Beast"", ""Welcome to Sweettooth"", ""White Glove Gourmand"", ""Witch's Oven"", ""Wolf's Quarry""]}"
Gnome,TBIG,5,1,1,,,Token Artifact Creature — Gnome,token,f407d357-2a03-5d42-8567-c942802d7ab3,,"{""reverseRelated"": [""Anim Pakal, Thousandth Moon"", ""By Gnome Means"", ""Clay-Fired Bricks // Cosmium Kiln"", ""Envoy of Okinec Ahau"", ""Gnome-Made Engine"", ""Gnomeball Machine"", ""Illustrious Wanderglyph"", ""Metrognome"", ""Oltec Cloud Guard"", ""Oltec Matterweaver"", ""Tetzin, Gnome Champion // The Golden-Gear Colossus"", ""Threefold Thunderhulk"", ""Tinker's Tote"", ""Very Cryptic Command""]}"
Map,TBIG,7,,,,"{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",Token Artifact — Map,token,ca9e0bcd-65f0-57dd-b5a1-eb8dac469f15,,"{""reverseRelated"": [""Brackish Blunder"", ""Cartographer's Companion"", ""Fanatical Offering"", ""Get Lost"", ""Kellan, Daring Traveler // Journey On"", ""Landlore Navigator"", ""Restless Anchorage"", ""Sentinel of the Nameless City"", ""Spyglass Siren"", ""Storm Fleet Negotiator"", ""Topography Tracker"", ""Waterwind Scout"", ""Worldwalker Helm""]}"
Cragflame,TBLB,26,,,,"Equipped creature gets +1/+1 and has vigilance, trample, and haste.\nEquip {2}",Token Legendary Artifact — Equipment,token,524e2513-4a49-53bf-a5fa-150dc718c5f1,,"{""reverseRelated"": [""Mabel, Heir to Cragflame""]}"
Bird,TBNG,1,1,1,,Flying,Token Creature — Bird,token,5be401dd-cfeb-5052-bd97-62670082329d,,"{""reverseRelated"": [""Aether Channeler"", ""Akim, the Soaring Wind"", ""Battle Screech"", ""Beck // Call"", ""Emeria Angel"", ""Eyes in the Skies"", ""Falconer Adept"", ""J\\u00f6tun Owl Keeper"", ""Knight of Doves"", ""Liberated Livestock"", ""Love Song of Night and Day"", ""Migratory Route"", ""Ornitharch"", ""Scion of Vitu-Ghazi"", ""Scour the Desert"", ""Seller of Songbirds"", ""Soul of Migration"", ""Wingmantle Chaplain""]}"
Cat Soldier,TBNG,2,1,1,,Vigilance,Token Creature — Cat Soldier,token,d8a7431e-3edd-5b15-8b6f-e62203a3ae4e,,"{""reverseRelated"": [""Brimaz, King of Oreskos"", ""Vanguard of Brimaz""]}"
Soldier,TBNG,3,1,1,,,Token Enchantment Creature — Soldier,token,f004576c-fc48-53cb-88a9-56b336d0576a,,"{""reverseRelated"": [""God-Favored General""]}"
Bird,TBNG,4,2,2,,Flying,Token Enchantment Creature — Bird,token,2fb5a9ca-1d6f-5b51-9a54-a1d765e9a33b,,"{""reverseRelated"": [""Aerie Worshippers"", ""Rise of Eagles""]}"
Zombie,TBNG,6,2,2,,,Token Enchantment Creature — Zombie,token,109dee31-0fa6-5f4a-b5c4-3ae29a8a79ea,,"{""reverseRelated"": [""Forlorn Pseudamma""]}"
Elemental,TBNG,7,3,1,,,Token Enchantment Creature — Elemental,token,ba2d3c4f-49dd-56d4-bb45-bccd35b323a4,,"{""reverseRelated"": [""Satyr Nyx-Smith""]}"
Centaur,TBNG,8,3,3,,,Token Enchantment Creature — Centaur,token,f71ba2ee-cd84-56f4-9735-017ede02cedc,,"{""reverseRelated"": [""Fated Intervention"", ""Pheres-Band Raiders""]}"
Gold,TBNG,10,,,,Sacrifice this artifact: Add one mana of any color.,Token Artifact — Gold,token,22a28f99-386e-5b4c-98b1-ce589600b6c9,,"{""reverseRelated"": [""Curse of Opulence"", ""Gild"", ""King Macar, the Gold-Cursed"", ""The First Iroan Games""]}"
"Kiora, the Crashing Wave Emblem",TBNG,11,,,,"At the beginning of your end step, create a 9/9 blue Kraken creature token.",Emblem — Kiora,emblem,77f2b6f0-6c4b-54ad-82fc-81f979872e3b,,"{""reverseRelated"": [""Kiora, the Crashing Wave"", ""Kraken""]}"
Laserbeak,TBOT,1,2,2,,"Flying, hexproof",Token Legendary Artifact Creature — Robot,token,3f365f82-9fe6-5e07-867c-07c7e6787daa,,"{""reverseRelated"": [""Soundwave, Sonic Spy // Soundwave, Superior Captain""]}"
Ravage,TBOT,2,3,3,,"Menace, deathtouch",Token Legendary Artifact Creature — Robot,token,074f6436-162b-54ba-a7c4-50272c8f689a,,"{""reverseRelated"": [""Soundwave, Sonic Spy // Soundwave, Superior Captain""]}"
Goat,TBRC,3,0,1,,,Token Creature — Goat,token,776a56c4-d289-5071-b453-e768c644059c,,"{""reverseRelated"": [""Clackbridge Troll"", ""Contraband Livestock"", ""Discordant Piper"", ""Everythingamajig"", ""Goldmeadow"", ""Springjack Pasture"", ""Springjack Shepherd"", ""Trading Post"", ""Woe Strider""]}"
Faerie,TBRC,4,1,1,,Flying,Token Creature — Faerie,token,f1687f59-2d44-5bda-8906-3d016ac4c460,,"{""reverseRelated"": [""Alela, Artful Provocateur"", ""Faerie Formation"", ""Hunted Troll"", ""Improbable Alliance"", ""Stolen by the Fae""]}"
Phyrexian Myr,TBRC,5,2,1,,,Token Artifact Creature — Phyrexian Myr,token,f893fe3a-9d33-5d5a-8718-fcc6fb5e321f,,"{""reverseRelated"": [""Brudiclad, Telchor Engineer"", ""Myr""]}"
Inkling,TBRC,7,2,1,,Flying,Token Creature — Inkling,token,00093ed9-5b6b-5a88-bd12-7c3e260abf1c,,"{""reverseRelated"": [""Blot Out the Sky"", ""Combat Calligrapher"", ""Dramatic Finale"", ""Fain, the Broker"", ""Felisa, Fang of Silverquill"", ""Inkling Summoning"", ""Inkshield"", ""Mascot Exhibition"", ""Shadrix Silverquill"", ""Umbral Juke""]}"
Construct,TBRC,8,1,1,,,Token Artifact Creature — Construct,token,379963cb-e18b-5b99-b6d0-488a0727ba5e,,"{""reverseRelated"": [""Jan Jansen, Chaos Crafter"", ""Myriad Construct"", ""Nimblewright Schematic"", ""Oni-Cult Anvil""]}"
Mishra's Warform,TBRC,9,4,4,,(This token has the abilities and other types of the copied artifact.),Token Artifact Creature — Construct,token,03cb41da-1a68-5885-ade6-2ff869bc3697,,"{""reverseRelated"": [""Mishra, Eminent One""]}"
Phyrexian Horror,TBRC,11,*,*,,,Token Artifact Creature — Phyrexian Horror,token,157e07f6-6d96-58f5-ae0c-f8027f00400c,,"{""reverseRelated"": [""Phyrexian Rebirth""]}"
Scrap,TBRC,12,,,,,Token Artifact,token,6a0e3e1a-6f44-5f09-a966-545d8842ada5,,"{""reverseRelated"": [""Farid, Enterprising Salvager""]}"
Elemental,TBRC,14,5,3,,,Token Creature — Elemental,token,0974ed93-8127-5c63-bb41-051ff542ed0b,,"{""reverseRelated"": [""Titania, Nature's Force"", ""Titania, Protector of Argoth""]}"
Spirit,TBRO,1,2,2,,"Vigilance\nWhenever you draw a card, put a +1/+1 counter on this creature.",Token Creature — Spirit,token,60494a81-fb59-5124-8026-50238c0b9308,,"{""reverseRelated"": [""Teferi, Temporal Pilgrim""]}"
Bear,TBRO,2,2,2,,,Token Creature — Bear,token,3f82c456-50fe-51af-9b92-369d7df9e749,,"{""reverseRelated"": [""Argoth, Sanctum of Nature"", ""Ayula's Influence"", ""Bearscape"", ""Caller of the Claw"", ""Fade from History"", ""Flaxen Intruder // Welcome Home"", ""Grizzly Fate"", ""Kamahl's Summons"", ""Mother Bear"", ""Path to the World Tree"", ""Titania's Command"", ""Words of Wilding""]}"
Forest Dryad,TBRO,3,1,1,,"(This creature is affected by summoning sickness, and it has ""{T}: Add {G}."")",Token Land Creature — Forest Dryad,token,6405b3fc-e11e-57cb-acdc-52ecdd339108,,"{""reverseRelated"": [""Awaken the Woods"", ""Staff of Titania""]}"
Construct,TBRO,4,2,2,,,Token Artifact Creature — Construct,token,a528342a-7f6f-5f00-9703-fa3582eb99ec,,"{""reverseRelated"": [""Kayla's Command""]}"
Golem,TBRO,6,*,*,,,Token Artifact Creature — Golem,token,e9d4c9dd-aabd-5b24-9c12-495ba9642306,,"{""reverseRelated"": [""Mask of the Jadecrafter"", ""Rootwire Amalgam""]}"
Powerstone,TBRO,7,,,,{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.,Token Artifact — Powerstone,token,af8db311-3520-5cf7-8410-7390c29da873,,"{""reverseRelated"": [""Arbalest Engineers"", ""Argothian Opportunist"", ""Ashnod, Flesh Mechanist"", ""Cityscape Leveler"", ""Excavation Explosion"", ""Fallaji Excavation"", ""Geology Enthusiast"", ""Gix's Caress"", ""Great Desert Prospector"", ""Hall of Tagsin"", ""Horned Stoneseeker"", ""Junkyard Genius"", ""Karn, Living Legacy"", ""Koilos Roc"", ""Mishra, Lost to Phyrexia"", ""Powerstone Engineer"", ""Repair and Recharge"", ""Sarinth Greatwurm"", ""Sibling Rivalry"", ""Slagstone Refinery"", ""Splitting the Powerstone"", ""Static Net"", ""Stern Lesson"", ""Stone Retrieval Unit"", ""Terisiare's Devastation"", ""The Brothers' War"", ""The Mana Rig"", ""Thran Spider"", ""Urza's Command"", ""Urza, Powerstone Prodigy"", ""Visions of Phyrexia"", ""Wreck Hunter""]}"
